hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
47.8,Moderate,1146,Poor,55.51,Moderate,Medium-Term
84.2,Very High,2520,Poor,73.56,High,Short-Term
7.7,Low,4305,Good,30.58,Low,Monitor
41.3,Very High,4756,Moderate,67.17,High,Short-Term
58.6,Low,1033,Poor,47.48,Moderate,Medium-Term
18.0,Moderate,3319,Good,30.91,Low,Monitor
87.7,High,2671,Poor,80.22,Critical,Immediate
75.7,Very High,2271,Moderate,79.05,High,Short-Term
87.1,Moderate,1829,Good,49.05,Moderate,Medium-Term
98.2,High,971,Moderate,68.8,High,Short-Term
0.6,Low,208,Good,14.03,Low,Monitor
46.0,Very High,4087,Moderate,70.35,High,Short-Term
97.4,High,3335,Moderate,70.83,High,Short-Term
13.5,Moderate,1016,Good,29.93,Low,Monitor
18.8,Low,1814,Moderate,31.22,Low,Monitor
65.0,Very High,4512,Good,65.68,High,Short-Term
77.0,Moderate,3982,Moderate,57.73,Moderate,Medium-Term
16.6,Moderate,3747,Moderate,42.84,Moderate,Medium-Term
86.0,Moderate,1749,Moderate,60.71,High,Short-Term
83.4,Low,2834,Good,44.67,Moderate,Medium-Term
84.8,Very High,3505,Moderate,83.49,Critical,Immediate
59.6,High,403,Moderate,50.86,Moderate,Medium-Term
51.3,Very High,1999,Poor,60.17,High,Short-Term
1.9,High,4632,Good,40.98,Moderate,Medium-Term
64.8,Very High,1057,Moderate,64.87,High,Short-Term
64.6,Very High,3673,Good,63.38,High,Short-Term
72.6,Very High,2916,Moderate,68.78,High,Short-Term
22.0,High,3937,Good,55.08,Moderate,Medium-Term
72.3,Very High,3514,Poor,83.05,Critical,Immediate
36.0,Very High,1427,Poor,54.88,Moderate,Medium-Term
69.1,Low,4055,Good,45.68,Moderate,Medium-Term
15.6,Very High,926,Moderate,52.25,Moderate,Medium-Term
49.4,Moderate,1815,Poor,45.05,Moderate,Medium-Term
1.8,High,3024,Poor,42.52,Moderate,Medium-Term
82.8,Low,621,Moderate,45.35,Moderate,Medium-Term
61.8,Low,4703,Good,50.72,Moderate,Medium-Term
99.4,High,482,Poor,68.25,High,Short-Term
15.1,Low,513,Moderate,27.12,Low,Monitor
96.3,Low,967,Poor,59.57,Moderate,Medium-Term
85.8,Low,4707,Good,59.48,Moderate,Medium-Term
16.7,Low,1782,Moderate,22.48,Low,Monitor
29.2,Very High,4244,Moderate,66.92,High,Short-Term
9.9,High,2841,Good,34.3,Low,Monitor
20.2,Very High,153,Good,44.54,Moderate,Medium-Term
47.4,High,4237,Good,52.4,Moderate,Medium-Term
37.2,Very High,3054,Poor,69.13,High,Short-Term
15.2,Very High,1969,Good,49.53,Moderate,Medium-Term
41.3,Very High,3858,Poor,75.85,High,Short-Term
36.2,Low,3725,Good,42.39,Moderate,Medium-Term
71.8,Low,794,Moderate,40.35,Moderate,Medium-Term
98.2,Moderate,3655,Good,65.28,High,Short-Term
3.7,Moderate,4806,Good,46.16,Moderate,Medium-Term
98.0,High,3534,Moderate,84.61,Critical,Immediate
70.1,High,2669,Moderate,57.34,Moderate,Medium-Term
28.0,Moderate,3409,Moderate,48.24,Moderate,Medium-Term
88.8,Very High,2928,Poor,82.51,Critical,Immediate
19.7,High,790,Good,36.15,Low,Monitor
39.0,Moderate,4363,Poor,55.39,Moderate,Medium-Term
9.3,High,4370,Moderate,54.84,Moderate,Medium-Term
16.0,Low,4523,Poor,40.08,Moderate,Medium-Term
83.2,High,3563,Poor,72.39,High,Short-Term
6.0,High,2227,Poor,46.38,Moderate,Medium-Term
12.4,Low,3776,Moderate,35.6,Low,Monitor
0.5,High,2034,Poor,51.38,Moderate,Medium-Term
56.6,Moderate,2969,Moderate,50.74,Moderate,Medium-Term
78.5,Moderate,3193,Poor,71.8,High,Short-Term
10.5,Moderate,3059,Moderate,31.98,Low,Monitor
71.2,Very High,771,Good,52.5,Moderate,Medium-Term
88.9,Very High,1859,Moderate,67.8,High,Short-Term
67.7,Very High,4918,Poor,84.92,Critical,Immediate
39.5,High,4886,Moderate,65.55,High,Short-Term
99.7,Very High,3515,Good,74.76,High,Short-Term
12.7,Very High,1159,Poor,50.54,Moderate,Medium-Term
52.9,Moderate,3830,Moderate,48.86,Moderate,Medium-Term
15.7,High,1072,Poor,50.67,Moderate,Medium-Term
11.0,High,4783,Moderate,45.62,Moderate,Medium-Term
15.3,High,2597,Moderate,42.59,Moderate,Medium-Term
48.6,Moderate,1264,Poor,48.57,Moderate,Medium-Term
93.7,High,2422,Good,62.91,High,Short-Term
74.0,Low,1102,Poor,48.14,Moderate,Medium-Term
87.0,Very High,4041,Poor,84.82,Critical,Immediate
45.2,High,3190,Moderate,63.93,High,Short-Term
83.4,Moderate,1234,Poor,64.06,High,Short-Term
76.2,Very High,1320,Poor,70.4,High,Short-Term
80.0,Very High,3272,Good,78.99,High,Short-Term
33.9,Low,3729,Poor,43.47,Moderate,Medium-Term
8.9,Moderate,303,Poor,34.16,Low,Monitor
77.2,High,4696,Poor,75.03,High,Short-Term
55.9,Moderate,4538,Poor,69.59,High,Short-Term
95.7,Moderate,3998,Poor,83.59,Critical,Immediate
12.0,Moderate,255,Moderate,32.31,Low,Monitor
24.5,Very High,793,Poor,54.71,Moderate,Medium-Term
40.2,Low,4126,Good,38.51,Low,Monitor
18.1,Low,4424,Moderate,37.14,Low,Monitor
9.1,Low,4538,Good,28.41,Low,Monitor
18.3,Low,1363,Moderate,34.09,Low,Monitor
67.9,Low,2764,Good,37.75,Low,Monitor
5.9,Very High,908,Moderate,35.98,Low,Monitor
89.3,High,3176,Good,62.29,High,Short-Term
24.0,Moderate,4138,Poor,56.74,Moderate,Medium-Term
38.5,Low,2306,Good,30.29,Low,Monitor
55.3,Low,4066,Good,44.64,Moderate,Medium-Term
23.4,Low,2304,Poor,45.08,Moderate,Medium-Term
67.5,Moderate,4644,Poor,74.51,High,Short-Term
30.5,Very High,3753,Good,62.73,High,Short-Term
50.0,Moderate,3158,Poor,65.64,High,Short-Term
78.2,Very High,4647,Moderate,74.63,High,Short-Term
81.3,High,1471,Good,52.8,Moderate,Medium-Term
92.2,High,4997,Moderate,87.69,Critical,Immediate
38.0,High,1842,Poor,61.37,High,Short-Term
28.1,Moderate,4475,Poor,48.6,Moderate,Medium-Term
9.0,Low,1244,Poor,29.28,Low,Monitor
27.9,Very High,1827,Poor,58.4,Moderate,Medium-Term
80.2,High,2241,Poor,71.52,High,Short-Term
24.6,High,2898,Good,45.06,Moderate,Medium-Term
60.0,Low,1195,Poor,52.79,Moderate,Medium-Term
60.9,Low,178,Poor,37.06,Low,Monitor
55.6,Very High,3317,Poor,67.28,High,Short-Term
87.7,Low,4512,Good,65.52,High,Short-Term
81.6,Very High,1111,Moderate,76.55,High,Short-Term
37.6,High,3268,Good,57.16,Moderate,Medium-Term
81.2,Low,1122,Moderate,45.84,Moderate,Medium-Term
19.3,Low,1914,Poor,26.98,Low,Monitor
28.1,High,1668,Good,47.07,Moderate,Medium-Term
62.5,Moderate,2019,Moderate,59.93,Moderate,Medium-Term
3.7,Very High,1812,Good,35.18,Low,Monitor
82.1,Very High,1008,Moderate,69.88,High,Short-Term
49.4,Moderate,4734,Poor,66.9,High,Short-Term
56.5,Low,4918,Good,53.89,Moderate,Medium-Term
12.7,Moderate,4385,Poor,54.25,Moderate,Medium-Term
19.2,Low,4465,Poor,40.88,Moderate,Medium-Term
56.0,Very High,116,Moderate,58.32,Moderate,Medium-Term
94.3,Low,2746,Moderate,64.5,High,Short-Term
40.7,Low,4345,Moderate,46.55,Moderate,Medium-Term
51.7,Low,1939,Good,32.8,Low,Monitor
42.0,Very High,2690,Good,55.23,Moderate,Medium-Term
33.5,Low,1948,Poor,38.55,Low,Monitor
7.4,Moderate,1712,Good,24.71,Low,Monitor
6.3,Low,328,Moderate,17.43,Low,Monitor
2.4,High,2151,Good,28.67,Low,Monitor
23.8,High,545,Moderate,40.82,Moderate,Medium-Term
23.7,Low,3692,Good,35.57,Low,Monitor
57.9,Low,597,Good,31.19,Low,Monitor
89.0,Low,1144,Good,52.94,Moderate,Medium-Term
44.2,High,3637,Good,49.15,Moderate,Medium-Term
5.6,Low,2515,Moderate,25.45,Low,Monitor
61.7,Very High,2009,Poor,75.48,High,Short-Term
62.4,Very High,3245,Moderate,75.54,High,Short-Term
88.0,Low,2882,Poor,69.58,High,Short-Term
78.3,Very High,4337,Moderate,82.16,Critical,Immediate
10.8,Low,4975,Poor,37.01,Low,Monitor
78.9,Moderate,4795,Good,67.0,High,Short-Term
25.6,Very High,4043,Poor,68.31,High,Short-Term
18.6,Moderate,461,Good,20.39,Low,Monitor
58.5,High,2649,Poor,72.48,High,Short-Term
77.5,Moderate,3946,Moderate,67.06,High,Short-Term
29.1,Low,4340,Poor,50.32,Moderate,Medium-Term
14.5,Moderate,4254,Poor,55.58,Moderate,Medium-Term
42.2,Moderate,1741,Poor,56.02,Moderate,Medium-Term
78.5,High,1651,Poor,68.94,High,Short-Term
69.2,Very High,2812,Poor,77.78,High,Short-Term
33.6,High,3529,Moderate,50.48,Moderate,Medium-Term
45.4,Low,4162,Good,49.76,Moderate,Medium-Term
63.9,Moderate,3921,Poor,61.21,High,Short-Term
48.1,High,3179,Good,53.46,Moderate,Medium-Term
82.6,Low,3072,Good,44.88,Moderate,Medium-Term
3.0,Low,1266,Moderate,20.16,Low,Monitor
63.1,High,459,Good,44.61,Moderate,Medium-Term
28.4,Moderate,2246,Poor,41.46,Moderate,Medium-Term
84.8,Moderate,1562,Good,46.27,Moderate,Medium-Term
84.3,Low,271,Poor,45.04,Moderate,Medium-Term
65.5,Low,2872,Good,41.79,Moderate,Medium-Term
24.0,High,1503,Poor,57.29,Moderate,Medium-Term
99.8,Very High,635,Good,63.28,High,Short-Term
92.4,Moderate,1670,Poor,64.82,High,Short-Term
37.4,Very High,2103,Good,57.21,Moderate,Medium-Term
58.7,High,1317,Moderate,51.76,Moderate,Medium-Term
62.9,High,1135,Poor,69.29,High,Short-Term
88.6,Moderate,766,Moderate,61.23,High,Short-Term
61.5,Moderate,4266,Moderate,65.11,High,Short-Term
64.5,High,4184,Poor,73.99,High,Short-Term
32.2,High,4404,Poor,63.87,High,Short-Term
95.6,Very High,2298,Poor,82.32,Critical,Immediate
92.1,Low,1797,Good,56.24,Moderate,Medium-Term
45.2,Moderate,3343,Good,44.09,Moderate,Medium-Term
88.9,Moderate,3164,Moderate,67.08,High,Short-Term
13.4,Low,2517,Moderate,30.06,Low,Monitor
23.0,Low,3911,Poor,45.88,Moderate,Medium-Term
42.6,Very High,3643,Moderate,63.36,High,Short-Term
49.8,High,3232,Good,50.73,Moderate,Medium-Term
23.4,Low,3041,Good,27.56,Low,Monitor
50.2,Low,2364,Good,31.1,Low,Monitor
7.1,Low,4573,Good,28.62,Low,Monitor
67.5,High,2579,Poor,74.24,High,Short-Term
68.4,High,1661,Poor,67.49,High,Short-Term
13.8,High,169,Moderate,32.02,Low,Monitor
34.7,Very High,3423,Poor,71.21,High,Short-Term
1.2,Moderate,3356,Good,27.47,Low,Monitor
74.9,Very High,2014,Poor,76.91,High,Short-Term
55.3,Very High,3879,Moderate,75.54,High,Short-Term
31.3,Moderate,3612,Poor,51.83,Moderate,Medium-Term
43.9,Low,3169,Good,39.78,Low,Monitor
12.8,Low,4194,Poor,46.86,Moderate,Medium-Term
34.0,Very High,3587,Poor,71.54,High,Short-Term
76.3,High,2771,Poor,65.41,High,Short-Term
78.5,Moderate,1359,Moderate,56.5,Moderate,Medium-Term
79.9,Very High,3223,Good,79.54,High,Short-Term
6.4,Very High,1642,Moderate,38.55,Low,Monitor
57.0,Very High,2595,Good,56.57,Moderate,Medium-Term
67.5,Moderate,362,Poor,54.47,Moderate,Medium-Term
2.7,Moderate,669,Moderate,22.66,Low,Monitor
23.3,Low,3824,Good,31.85,Low,Monitor
1.1,High,3465,Moderate,38.76,Low,Monitor
11.1,Very High,4017,Poor,54.3,Moderate,Medium-Term
95.5,Moderate,1164,Good,53.04,Moderate,Medium-Term
81.8,Very High,1400,Poor,76.68,High,Short-Term
31.0,Moderate,4216,Poor,58.42,Moderate,Medium-Term
27.5,Low,1268,Moderate,22.72,Low,Monitor
39.9,Moderate,4407,Moderate,60.65,High,Short-Term
87.9,Very High,3890,Poor,80.21,Critical,Immediate
9.1,Very High,2940,Poor,61.68,High,Short-Term
79.2,Very High,1534,Moderate,65.85,High,Short-Term
90.0,Very High,3850,Moderate,89.47,Critical,Immediate
18.3,Low,3323,Poor,47.08,Moderate,Medium-Term
24.0,Moderate,2342,Poor,46.12,Moderate,Medium-Term
66.7,Low,1879,Moderate,44.44,Moderate,Medium-Term
76.2,Low,3120,Good,53.74,Moderate,Medium-Term
50.4,High,3459,Moderate,56.12,Moderate,Medium-Term
20.7,Low,3886,Good,26.46,Low,Monitor
69.4,Very High,3222,Moderate,77.12,High,Short-Term
85.6,Very High,409,Good,59.11,Moderate,Medium-Term
70.9,Moderate,2779,Poor,67.66,High,Short-Term
48.5,Low,776,Poor,42.84,Moderate,Medium-Term
71.4,Very High,1248,Moderate,71.11,High,Short-Term
84.2,Moderate,247,Poor,51.82,Moderate,Medium-Term
29.4,Very High,1479,Good,50.45,Moderate,Medium-Term
1.1,High,1357,Moderate,33.54,Low,Monitor
21.7,Low,4460,Good,35.01,Low,Monitor
4.8,Low,3299,Poor,32.06,Low,Monitor
5.2,Low,498,Moderate,23.08,Low,Monitor
92.9,High,2054,Good,59.69,Moderate,Medium-Term
42.2,Low,2861,Good,39.59,Low,Monitor
6.3,Low,1475,Poor,23.03,Low,Monitor
41.6,Low,2779,Moderate,41.67,Moderate,Medium-Term
19.0,Moderate,4537,Moderate,54.32,Moderate,Medium-Term
12.1,Moderate,967,Moderate,27.77,Low,Monitor
1.5,High,198,Moderate,26.72,Low,Monitor
22.0,High,3122,Good,38.77,Low,Monitor
21.9,High,4192,Good,53.33,Moderate,Medium-Term
79.1,Moderate,2163,Good,55.94,Moderate,Medium-Term
98.1,Very High,1188,Moderate,69.9,High,Short-Term
76.2,High,4049,Good,65.73,High,Short-Term
60.9,Very High,3232,Poor,77.74,High,Short-Term
23.2,Low,2005,Good,28.5,Low,Monitor
89.7,High,2036,Poor,73.65,High,Short-Term
24.4,Low,590,Good,19.39,Low,Monitor
29.7,Moderate,3178,Good,43.38,Moderate,Medium-Term
23.8,Very High,2792,Good,47.45,Moderate,Medium-Term
64.4,Low,4366,Moderate,57.37,Moderate,Medium-Term
28.8,Low,1976,Poor,35.53,Low,Monitor
24.2,Low,2134,Poor,40.4,Moderate,Medium-Term
22.2,Very High,4371,Moderate,56.19,Moderate,Medium-Term
63.0,Low,4127,Good,56.32,Moderate,Medium-Term
5.2,Moderate,1772,Good,20.38,Low,Monitor
59.3,Moderate,2035,Poor,49.89,Moderate,Medium-Term
72.5,High,1444,Poor,61.56,High,Short-Term
42.4,Moderate,2583,Moderate,48.89,Moderate,Medium-Term
96.8,Moderate,2327,Moderate,58.97,Moderate,Medium-Term
97.3,Very High,3194,Good,77.86,High,Short-Term
42.3,Very High,1376,Moderate,48.63,Moderate,Medium-Term
38.1,Low,2559,Poor,44.42,Moderate,Medium-Term
55.3,Moderate,2207,Moderate,50.1,Moderate,Medium-Term
45.4,Very High,4705,Poor,75.65,High,Short-Term
33.3,Very High,1703,Good,56.63,Moderate,Medium-Term
0.4,High,4125,Moderate,53.45,Moderate,Medium-Term
94.0,High,3246,Moderate,72.8,High,Short-Term
98.8,Low,3448,Good,66.75,High,Short-Term
12.4,Moderate,1691,Moderate,40.91,Moderate,Medium-Term
77.1,High,4274,Poor,79.15,High,Short-Term
68.8,Low,3256,Moderate,55.87,Moderate,Medium-Term
24.2,Low,3060,Poor,44.26,Moderate,Medium-Term
2.8,Moderate,2240,Poor,36.98,Low,Monitor
68.1,High,2126,Poor,68.84,High,Short-Term
66.3,Moderate,201,Good,46.35,Moderate,Medium-Term
64.4,Very High,3357,Poor,78.6,High,Short-Term
90.1,Moderate,3564,Good,69.07,High,Short-Term
25.3,High,4201,Poor,63.45,High,Short-Term
38.3,High,3471,Poor,68.45,High,Short-Term
10.9,High,1269,Moderate,42.87,Moderate,Medium-Term
93.0,Very High,2623,Good,82.33,Critical,Immediate
81.6,Low,893,Good,47.01,Moderate,Medium-Term
41.8,Very High,2462,Poor,64.63,High,Short-Term
17.6,Moderate,1200,Good,28.74,Low,Monitor
50.3,Low,3791,Poor,58.05,Moderate,Medium-Term
18.6,Low,1596,Good,19.54,Low,Monitor
90.2,Very High,3710,Poor,94.27,Critical,Immediate
10.9,Moderate,753,Moderate,22.7,Low,Monitor
12.5,Low,2902,Good,27.85,Low,Monitor
47.8,Low,177,Good,24.2,Low,Monitor
95.5,Low,893,Good,47.86,Moderate,Medium-Term
0.7,High,4080,Moderate,50.67,Moderate,Medium-Term
60.4,High,3137,Poor,75.18,High,Short-Term
99.9,Moderate,3059,Poor,73.33,High,Short-Term
61.1,High,2805,Good,50.16,Moderate,Medium-Term
87.1,Very High,1237,Good,68.56,High,Short-Term
86.9,High,2136,Moderate,68.19,High,Short-Term
68.6,Very High,4318,Moderate,79.84,High,Short-Term
0.3,High,236,Poor,34.06,Low,Monitor
4.6,High,3739,Good,43.78,Moderate,Medium-Term
40.0,Low,2953,Moderate,47.84,Moderate,Medium-Term
94.1,Very High,922,Poor,76.03,High,Short-Term
60.7,Moderate,4360,Poor,71.0,High,Short-Term
71.7,Low,1147,Moderate,49.43,Moderate,Medium-Term
30.1,Very High,1476,Moderate,59.72,Moderate,Medium-Term
48.2,Moderate,2093,Good,37.97,Low,Monitor
94.4,Low,964,Moderate,59.79,Moderate,Medium-Term
2.9,High,3241,Moderate,39.51,Low,Monitor
25.8,Very High,1108,Poor,48.88,Moderate,Medium-Term
53.5,Very High,840,Poor,60.65,High,Short-Term
22.4,Low,2911,Moderate,41.04,Moderate,Medium-Term
74.3,Very High,4703,Moderate,85.76,Critical,Immediate
22.4,Low,2483,Good,22.05,Low,Monitor
34.0,Moderate,1051,Poor,41.73,Moderate,Medium-Term
85.3,Very High,4826,Poor,82.44,Critical,Immediate
6.2,Moderate,3279,Moderate,34.9,Low,Monitor
36.5,Moderate,4357,Poor,59.58,Moderate,Medium-Term
22.2,Very High,175,Poor,55.36,Moderate,Medium-Term
31.6,High,1893,Moderate,51.51,Moderate,Medium-Term
14.7,High,1294,Poor,48.22,Moderate,Medium-Term
80.1,Low,2722,Moderate,53.96,Moderate,Medium-Term
68.9,High,4801,Moderate,75.42,High,Short-Term
21.6,High,3185,Good,53.5,Moderate,Medium-Term
33.3,Moderate,1943,Poor,50.95,Moderate,Medium-Term
92.3,Moderate,4093,Poor,74.7,High,Short-Term
98.4,Moderate,276,Poor,61.57,High,Short-Term
42.2,Very High,2953,Moderate,60.84,High,Short-Term
52.8,High,2413,Poor,70.15,High,Short-Term
70.1,Very High,897,Good,56.79,Moderate,Medium-Term
79.1,Low,2590,Moderate,55.51,Moderate,Medium-Term
57.7,Very High,4052,Moderate,78.76,High,Short-Term
21.0,Moderate,174,Moderate,34.17,Low,Monitor
57.6,Moderate,3184,Moderate,58.27,Moderate,Medium-Term
16.8,Low,886,Moderate,32.01,Low,Monitor
18.0,Low,1061,Poor,33.19,Low,Monitor
59.3,Moderate,3409,Good,44.93,Moderate,Medium-Term
24.1,Very High,2579,Poor,61.54,High,Short-Term
17.2,Very High,834,Moderate,51.2,Moderate,Medium-Term
65.0,High,3746,Moderate,59.92,Moderate,Medium-Term
11.7,Low,4107,Poor,43.47,Moderate,Medium-Term
51.0,Low,4907,Poor,65.53,High,Short-Term
47.9,Low,4956,Good,45.23,Moderate,Medium-Term
100.0,Very High,2544,Poor,80.43,Critical,Immediate
32.5,Moderate,3420,Poor,45.12,Moderate,Medium-Term
55.6,Very High,623,Poor,68.59,High,Short-Term
53.9,Low,1799,Poor,52.67,Moderate,Medium-Term
18.1,Moderate,143,Poor,33.82,Low,Monitor
31.4,Low,1155,Poor,31.16,Low,Monitor
16.1,High,386,Good,40.36,Moderate,Medium-Term
50.6,High,4559,Good,60.22,High,Short-Term
94.5,Low,2134,Moderate,49.35,Moderate,Medium-Term
94.6,High,4475,Moderate,75.25,High,Short-Term
49.0,High,4381,Moderate,66.37,High,Short-Term
51.1,Low,466,Good,22.84,Low,Monitor
14.2,Moderate,1199,Poor,38.35,Low,Monitor
59.2,High,1152,Poor,62.54,High,Short-Term
7.4,High,2235,Moderate,43.93,Moderate,Medium-Term
16.3,Very High,782,Moderate,47.65,Moderate,Medium-Term
94.0,Moderate,4490,Good,61.99,High,Short-Term
73.3,Moderate,3148,Poor,68.52,High,Short-Term
82.1,Moderate,3538,Good,57.95,Moderate,Medium-Term
78.8,Very High,312,Poor,66.04,High,Short-Term
27.0,Low,4592,Moderate,35.88,Low,Monitor
64.0,High,2832,Moderate,58.07,Moderate,Medium-Term
79.8,High,180,Good,52.18,Moderate,Medium-Term
96.9,Very High,960,Good,64.06,High,Short-Term
72.8,High,4923,Moderate,68.7,High,Short-Term
34.9,High,4618,Moderate,62.41,High,Short-Term
89.7,Moderate,2705,Moderate,59.61,Moderate,Medium-Term
80.6,Very High,4006,Poor,79.52,High,Short-Term
0.9,Moderate,1135,Good,20.92,Low,Monitor
73.5,Low,3132,Poor,62.94,High,Short-Term
67.8,Very High,3850,Good,69.65,High,Short-Term
35.4,Very High,4214,Moderate,61.66,High,Short-Term
42.8,Moderate,2600,Poor,58.86,Moderate,Medium-Term
94.7,Very High,2661,Good,77.44,High,Short-Term
7.7,Moderate,867,Good,25.37,Low,Monitor
8.5,High,4639,Moderate,56.46,Moderate,Medium-Term
1.1,Very High,4267,Poor,52.88,Moderate,Medium-Term
49.8,Low,3421,Good,43.47,Moderate,Medium-Term
91.1,Low,3581,Poor,67.01,High,Short-Term
34.5,Low,3775,Good,40.46,Moderate,Medium-Term
88.2,Moderate,1532,Good,52.87,Moderate,Medium-Term
13.3,High,517,Moderate,36.65,Low,Monitor
17.0,Low,2868,Poor,33.67,Low,Monitor
53.9,Low,2476,Moderate,43.5,Moderate,Medium-Term
26.5,Low,4759,Moderate,38.79,Low,Monitor
30.5,Low,3893,Poor,52.07,Moderate,Medium-Term
5.7,Low,3871,Moderate,29.25,Low,Monitor
10.7,High,1625,Moderate,37.92,Low,Monitor
10.1,Very High,1718,Good,42.38,Moderate,Medium-Term
89.9,Very High,1114,Moderate,64.03,High,Short-Term
76.9,High,1952,Moderate,63.05,High,Short-Term
29.9,Very High,1592,Poor,63.06,High,Short-Term
10.9,Very High,3699,Good,44.35,Moderate,Medium-Term
74.7,Low,3042,Poor,53.74,Moderate,Medium-Term
19.0,Low,1195,Moderate,25.17,Low,Monitor
33.1,Low,1413,Poor,32.67,Low,Monitor
47.9,High,1073,Moderate,50.89,Moderate,Medium-Term
49.6,Moderate,2761,Moderate,50.93,Moderate,Medium-Term
92.4,Very High,1176,Good,75.86,High,Short-Term
79.3,Moderate,1374,Moderate,55.75,Moderate,Medium-Term
76.7,Moderate,526,Poor,61.98,High,Short-Term
43.0,Low,3658,Moderate,41.31,Moderate,Medium-Term
48.6,Very High,2129,Poor,61.22,High,Short-Term
51.1,Moderate,2403,Good,51.33,Moderate,Medium-Term
99.4,Moderate,3615,Good,66.83,High,Short-Term
78.3,Low,4215,Poor,59.42,Moderate,Medium-Term
99.3,Moderate,1979,Good,54.79,Moderate,Medium-Term
3.8,Moderate,1297,Moderate,21.3,Low,Monitor
20.0,Low,3215,Moderate,35.26,Low,Monitor
70.0,Moderate,1916,Moderate,53.48,Moderate,Medium-Term
6.1,Very High,523,Moderate,33.99,Low,Monitor
36.4,High,3524,Good,49.46,Moderate,Medium-Term
4.8,Low,104,Good,15.17,Low,Monitor
32.2,High,3967,Moderate,63.68,High,Short-Term
10.1,Moderate,2166,Moderate,32.52,Low,Monitor
30.4,Low,211,Poor,32.56,Low,Monitor
86.2,High,3053,Poor,82.59,Critical,Immediate
74.3,High,2051,Poor,65.88,High,Short-Term
58.4,Low,971,Good,36.89,Low,Monitor
60.2,Low,4905,Poor,66.02,High,Short-Term
19.3,Very High,908,Good,48.96,Moderate,Medium-Term
61.9,High,3984,Good,63.64,High,Short-Term
15.4,Moderate,1670,Moderate,35.38,Low,Monitor
25.3,High,3098,Moderate,53.33,Moderate,Medium-Term
11.7,Very High,654,Moderate,41.41,Moderate,Medium-Term
93.1,Low,1467,Poor,55.09,Moderate,Medium-Term
96.7,High,472,Poor,63.95,High,Short-Term
97.2,Moderate,3356,Moderate,72.9,High,Short-Term
87.0,Low,1455,Moderate,55.28,Moderate,Medium-Term
38.4,Very High,3383,Poor,64.56,High,Short-Term
18.4,Moderate,4784,Good,45.05,Moderate,Medium-Term
0.9,Very High,4227,Poor,62.0,High,Short-Term
25.9,Moderate,2527,Poor,43.22,Moderate,Medium-Term
11.9,Moderate,473,Poor,29.62,Low,Monitor
3.9,Moderate,2375,Good,25.19,Low,Monitor
79.1,Moderate,1820,Poor,56.57,Moderate,Medium-Term
64.9,High,2758,Good,66.39,High,Short-Term
88.4,High,1194,Moderate,72.09,High,Short-Term
29.5,Low,185,Moderate,21.57,Low,Monitor
96.5,Moderate,2197,Good,61.16,High,Short-Term
97.9,Low,3229,Poor,63.55,High,Short-Term
62.6,Moderate,3722,Good,51.99,Moderate,Medium-Term
20.4,Very High,1375,Moderate,44.35,Moderate,Medium-Term
72.6,High,1315,Moderate,54.17,Moderate,Medium-Term
18.2,Moderate,1542,Good,31.65,Low,Monitor
94.3,Moderate,2410,Good,57.6,Moderate,Medium-Term
88.5,Very High,1638,Good,63.33,High,Short-Term
42.6,Very High,3397,Good,63.59,High,Short-Term
13.7,Low,916,Moderate,21.6,Low,Monitor
11.0,Low,458,Good,12.15,Low,Monitor
8.4,Moderate,210,Good,29.1,Low,Monitor
10.6,High,796,Good,26.62,Low,Monitor
76.0,Very High,1436,Moderate,65.65,High,Short-Term
15.5,Low,4552,Poor,40.16,Moderate,Medium-Term
54.4,Low,464,Good,32.11,Low,Monitor
10.3,Very High,1261,Good,46.74,Moderate,Medium-Term
2.4,Very High,3257,Good,43.02,Moderate,Medium-Term
28.7,Very High,1020,Moderate,44.83,Moderate,Medium-Term
11.0,Low,2408,Moderate,21.7,Low,Monitor
33.4,High,794,Good,42.04,Moderate,Medium-Term
17.8,High,1585,Poor,46.62,Moderate,Medium-Term
89.3,High,2451,Moderate,77.07,High,Short-Term
27.1,Very High,3123,Moderate,62.95,High,Short-Term
71.1,Low,117,Good,40.29,Moderate,Medium-Term
14.7,Moderate,3299,Moderate,44.38,Moderate,Medium-Term
78.6,Very High,651,Good,62.86,High,Short-Term
96.0,High,1285,Good,61.41,High,Short-Term
12.8,Very High,2988,Moderate,52.34,Moderate,Medium-Term
48.1,Very High,2831,Good,64.49,High,Short-Term
65.4,Moderate,3239,Moderate,59.14,Moderate,Medium-Term
53.9,Very High,4462,Poor,83.1,Critical,Immediate
38.5,Very High,4416,Poor,76.82,High,Short-Term
81.1,Moderate,814,Good,47.43,Moderate,Medium-Term
20.3,Low,3068,Poor,39.21,Low,Monitor
13.4,Low,588,Moderate,19.81,Low,Monitor
84.9,Moderate,2514,Moderate,56.58,Moderate,Medium-Term
85.3,Very High,2086,Good,74.95,High,Short-Term
5.6,Moderate,1060,Poor,37.21,Low,Monitor
37.7,Low,3579,Moderate,35.38,Low,Monitor
10.6,Low,4006,Poor,45.91,Moderate,Medium-Term
3.0,High,1257,Good,27.5,Low,Monitor
1.2,Very High,1326,Good,36.74,Low,Monitor
14.0,High,3951,Moderate,54.26,Moderate,Medium-Term
44.4,Low,2449,Good,30.33,Low,Monitor
88.1,Low,1521,Poor,51.74,Moderate,Medium-Term
39.6,Very High,3821,Poor,73.77,High,Short-Term
